time,model_id,model_name,port_name,data
0,640,(17,12),,1
0,641,(13,0),,-1
0,642,(12,6),,1
0,643,(18,12),,-1
0,644,(24,17),,1
0,645,(25,14),,-1
0,646,(19,12),,1
0,647,(21,12),,1
0,648,(22,12),,1
0,649,(24,19),,1
0,650,(23,12),,-1
0,651,(3,23),,-1
0,652,(2,1),,1
0,653,(26,12),,1
0,654,(16,16),,1
0,655,(27,12),,-1
0,656,(1,13),,-1
0,657,(2,13),,1
0,658,(8,24),,1
0,659,(1,12),,-1
0,660,(25,13),,-1
0,661,(27,9),,-1
0,662,(3,13),,-1
0,663,(13,26),,-1
0,664,(22,4),,1
0,665,(27,14),,-1
0,666,(2,14),,1
0,667,(4,4),,1
0,668,(4,13),,1
0,669,(5,13),,-1
0,670,(13,27),,-1
0,671,(7,13),,-1
0,672,(8,13),,1
0,673,(12,27),,1
0,674,(12,13),,1
0,675,(15,13),,1
0,676,(25,7),,-1
0,677,(16,13),,-1
0,678,(26,15),,1
0,679,(20,13),,1
0,680,(23,7),,-1
0,681,(22,13),,1
0,682,(7,25),,-1
0,683,(23,13),,-1
0,684,(0,0),,1
0,685,(4,18),,1
0,686,(0,1),,1
0,687,(11,12),,-1
0,688,(5,15),,-1
0,689,(26,13),,1
0,690,(3,14),,-1
0,691,(22,9),,-1
0,692,(4,14),,1
0,693,(20,3),,1
0,694,(5,14),,-1
0,695,(1,7),,-1
0,696,(6,14),,1
0,697,(9,14),,-1
0,698,(10,14),,1
0,699,(25,25),,-1
0,700,(20,10),,-1
0,701,(23,15),,-1
0,702,(18,1),,1
0,703,(17,15),,-1
0,704,(11,14),,-1
0,705,(21,1),,-1
0,706,(12,14),,-1
0,707,(14,14),,-1
0,708,(24,27),,1
0,709,(7,15),,-1
0,710,(20,14),,1
0,711,(21,14),,-1
0,712,(22,14),,1
0,713,(24,14),,1
0,714,(11,9),,-1
0,715,(4,15),,1
0,716,(9,15),,-1
0,717,(21,6),,-1
0,718,(14,15),,-1
0,719,(16,15),,1
0,720,(11,0),,-1
0,721,(19,15),,-1
0,722,(20,15),,1
0,723,(4,16),,1
0,724,(6,1),,1
0,725,(17,0),,-1
0,726,(23,16),,-1
0,727,(24,15),,1
0,728,(3,24),,-1
0,729,(16,22),,1
0,730,(0,17),,1
0,731,(25,15),,-1
0,732,(20,12),,-1
0,733,(0,16),,1
0,734,(25,5),,-1
0,735,(1,16),,-1
0,736,(17,20),,-1
0,737,(14,13),,-1
0,738,(5,16),,-1
0,739,(9,16),,1
0,740,(14,0),,1
0,741,(21,15),,-1
0,742,(7,18),,1
0,743,(12,16),,-1
0,744,(17,16),,-1
0,745,(2,26),,1
0,746,(18,16),,1
0,747,(12,26),,1
0,748,(19,16),,-1
0,749,(20,16),,1
0,750,(0,14),,1
0,751,(6,15),,1
0,752,(26,16),,1
0,753,(3,17),,-1
0,754,(5,17),,-1
0,755,(6,3),,1
0,756,(23,6),,-1
0,757,(7,17),,-1
0,758,(9,18),,1
0,759,(10,17),,-1
0,760,(24,13),,1
0,761,(11,17),,1
0,762,(15,17),,-1
0,763,(17,17),,-1
0,764,(14,5),,1
0,765,(18,17),,1
0,766,(21,23),,-1
0,767,(23,17),,-1
0,768,(0,15),,1
0,769,(26,17),,1
0,770,(25,17),,-1
0,771,(3,18),,-1
0,772,(21,21),,-1
0,773,(6,18),,-1
0,774,(8,18),,-1
0,775,(2,8),,1
0,776,(1,19),,-1
0,777,(11,18),,-1
0,778,(14,18),,1
0,779,(23,22),,-1
0,780,(15,20),,-1
0,781,(0,19),,1
0,782,(20,22),,1
0,783,(5,19),,1
0,784,(6,19),,-1
0,1,(27,27),outputNeighborhood,-1
0,1,(27,27),,-1
0,2,(26,27),outputNeighborhood,-1
0,2,(26,27),,1
0,3,(25,27),outputNeighborhood,-1
0,3,(25,27),,-1
0,4,(23,27),outputNeighborhood,-1
0,4,(23,27),,-1
0,5,(21,27),outputNeighborhood,-1
0,5,(21,27),,-1
0,6,(19,27),outputNeighborhood,-1
0,6,(19,27),,-1
0,7,(16,27),outputNeighborhood,-1
0,7,(16,27),,1
0,8,(15,27),outputNeighborhood,-1
0,8,(15,27),,-1
0,9,(11,27),outputNeighborhood,-1
0,9,(11,27),,-1
0,10,(8,27),outputNeighborhood,-1
0,10,(8,27),,1
0,11,(7,27),outputNeighborhood,-1
0,11,(7,27),,-1
0,12,(6,27),outputNeighborhood,-1
0,12,(6,27),,1
0,13,(1,27),outputNeighborhood,-1
0,13,(1,27),,-1
0,14,(27,26),outputNeighborhood,-1
0,14,(27,26),,-1
0,15,(24,26),outputNeighborhood,-1
0,15,(24,26),,1
0,16,(22,26),outputNeighborhood,-1
0,16,(22,26),,1
0,17,(17,26),outputNeighborhood,-1
0,17,(17,26),,-1
0,18,(15,26),outputNeighborhood,-1
0,18,(15,26),,-1
0,19,(14,26),outputNeighborhood,-1
0,19,(14,26),,1
0,20,(11,26),outputNeighborhood,-1
0,20,(11,26),,-1
0,21,(9,26),outputNeighborhood,-1
0,21,(9,26),,-1
0,22,(8,26),outputNeighborhood,-1
0,22,(8,26),,1
0,23,(4,26),outputNeighborhood,-1
0,23,(4,26),,1
0,24,(3,26),outputNeighborhood,-1
0,24,(3,26),,-1
0,25,(9,27),outputNeighborhood,-1
0,25,(9,27),,-1
0,26,(0,26),outputNeighborhood,-1
0,26,(0,26),,1
0,27,(22,25),outputNeighborhood,-1
0,27,(22,25),,1
0,28,(21,25),outputNeighborhood,-1
0,28,(21,25),,-1
0,29,(20,25),outputNeighborhood,-1
0,29,(20,25),,1
0,30,(19,25),outputNeighborhood,-1
0,30,(19,25),,-1
0,31,(17,25),outputNeighborhood,-1
0,31,(17,25),,-1
0,32,(15,25),outputNeighborhood,-1
0,32,(15,25),,-1
0,33,(14,25),outputNeighborhood,-1
0,33,(14,25),,1
0,34,(12,25),outputNeighborhood,-1
0,34,(12,25),,1
0,35,(11,25),outputNeighborhood,-1
0,35,(11,25),,-1
0,36,(9,25),outputNeighborhood,-1
0,36,(9,25),,-1
0,37,(6,25),outputNeighborhood,-1
0,37,(6,25),,1
0,38,(5,25),outputNeighborhood,-1
0,38,(5,25),,-1
0,39,(4,25),outputNeighborhood,-1
0,39,(4,25),,1
0,40,(3,25),outputNeighborhood,-1
0,40,(3,25),,-1
0,41,(1,25),outputNeighborhood,-1
0,41,(1,25),,-1
0,42,(27,24),outputNeighborhood,-1
0,42,(27,24),,-1
0,43,(26,24),outputNeighborhood,-1
0,43,(26,24),,1
0,44,(25,24),outputNeighborhood,-1
0,44,(25,24),,-1
0,45,(20,24),outputNeighborhood,-1
0,45,(20,24),,1
0,46,(18,24),outputNeighborhood,-1
0,46,(18,24),,1
0,47,(17,24),outputNeighborhood,-1
0,47,(17,24),,-1
0,48,(15,24),outputNeighborhood,-1
0,48,(15,24),,-1
0,49,(14,24),outputNeighborhood,-1
0,49,(14,24),,1
0,50,(11,24),outputNeighborhood,-1
0,50,(11,24),,-1
0,51,(1,24),outputNeighborhood,-1
0,51,(1,24),,-1
0,52,(27,23),outputNeighborhood,-1
0,52,(27,23),,-1
0,53,(26,23),outputNeighborhood,-1
0,53,(26,23),,1
0,54,(25,23),outputNeighborhood,-1
0,54,(25,23),,-1
0,55,(24,23),outputNeighborhood,-1
0,55,(24,23),,1
0,56,(22,23),outputNeighborhood,-1
0,56,(22,23),,1
0,57,(20,23),outputNeighborhood,-1
0,57,(20,23),,1
0,58,(18,23),outputNeighborhood,-1
0,58,(18,23),,1
0,59,(17,23),outputNeighborhood,-1
0,59,(17,23),,-1
0,60,(16,23),outputNeighborhood,-1
0,60,(16,23),,1
0,61,(15,23),outputNeighborhood,-1
0,61,(15,23),,-1
0,62,(13,23),outputNeighborhood,-1
0,62,(13,23),,-1
0,63,(12,23),outputNeighborhood,-1
0,63,(12,23),,1
0,64,(10,23),outputNeighborhood,-1
0,64,(10,23),,1
0,65,(7,23),outputNeighborhood,-1
0,65,(7,23),,-1
0,66,(6,23),outputNeighborhood,-1
0,66,(6,23),,1
0,67,(5,23),outputNeighborhood,-1
0,67,(5,23),,-1
0,68,(4,23),outputNeighborhood,-1
0,68,(4,23),,1
0,69,(2,23),outputNeighborhood,-1
0,69,(2,23),,1
0,70,(23,25),outputNeighborhood,-1
0,70,(23,25),,-1
0,71,(1,23),outputNeighborhood,-1
0,71,(1,23),,-1
0,72,(27,22),outputNeighborhood,-1
0,72,(27,22),,-1
0,73,(26,22),outputNeighborhood,-1
0,73,(26,22),,1
0,74,(25,22),outputNeighborhood,-1
0,74,(25,22),,-1
0,75,(8,23),outputNeighborhood,-1
0,75,(8,23),,1
0,76,(22,22),outputNeighborhood,-1
0,76,(22,22),,1
0,77,(19,22),outputNeighborhood,-1
0,77,(19,22),,-1
0,78,(18,22),outputNeighborhood,-1
0,78,(18,22),,1
0,79,(17,22),outputNeighborhood,-1
0,79,(17,22),,-1
0,80,(14,22),outputNeighborhood,-1
0,80,(14,22),,1
0,81,(13,22),outputNeighborhood,-1
0,81,(13,22),,-1
0,82,(5,27),outputNeighborhood,-1
0,82,(5,27),,-1
0,83,(12,22),outputNeighborhood,-1
0,83,(12,22),,1
0,84,(10,22),outputNeighborhood,-1
0,84,(10,22),,1
0,85,(9,22),outputNeighborhood,-1
0,85,(9,22),,-1
0,86,(8,22),outputNeighborhood,-1
0,86,(8,22),,1
0,87,(4,22),outputNeighborhood,-1
0,87,(4,22),,1
0,88,(3,22),outputNeighborhood,-1
0,88,(3,22),,-1
0,89,(2,22),outputNeighborhood,-1
0,89,(2,22),,1
0,90,(1,22),outputNeighborhood,-1
0,90,(1,22),,-1
0,91,(25,21),outputNeighborhood,-1
0,91,(25,21),,-1
0,92,(0,24),outputNeighborhood,-1
0,92,(0,24),,1
0,93,(24,21),outputNeighborhood,-1
0,93,(24,21),,1
0,94,(20,21),outputNeighborhood,-1
0,94,(20,21),,1
0,95,(18,21),outputNeighborhood,-1
0,95,(18,21),,1
0,96,(15,21),outputNeighborhood,-1
0,96,(15,21),,-1
0,97,(14,21),outputNeighborhood,-1
0,97,(14,21),,1
0,98,(13,21),outputNeighborhood,-1
0,98,(13,21),,-1
0,99,(10,21),outputNeighborhood,-1
0,99,(10,21),,1
0,100,(7,21),outputNeighborhood,-1
0,100,(7,21),,-1
0,101,(6,21),outputNeighborhood,-1
0,101,(6,21),,1
0,102,(26,21),outputNeighborhood,-1
0,102,(26,21),,1
0,103,(5,21),outputNeighborhood,-1
0,103,(5,21),,-1
0,104,(4,21),outputNeighborhood,-1
0,104,(4,21),,1
0,105,(0,21),outputNeighborhood,-1
0,105,(0,21),,1
0,106,(25,20),outputNeighborhood,-1
0,106,(25,20),,-1
0,107,(27,25),outputNeighborhood,-1
0,107,(27,25),,-1
0,108,(0,25),outputNeighborhood,-1
0,108,(0,25),,1
0,109,(23,20),outputNeighborhood,-1
0,109,(23,20),,-1
0,110,(22,20),outputNeighborhood,-1
0,110,(22,20),,1
0,111,(20,20),outputNeighborhood,-1
0,111,(20,20),,1
0,112,(19,20),outputNeighborhood,-1
0,112,(19,20),,-1
0,113,(18,20),outputNeighborhood,-1
0,113,(18,20),,1
0,114,(16,20),outputNeighborhood,-1
0,114,(16,20),,1
0,115,(14,20),outputNeighborhood,-1
0,115,(14,20),,1
0,116,(19,21),outputNeighborhood,-1
0,116,(19,21),,-1
0,117,(12,20),outputNeighborhood,-1
0,117,(12,20),,1
0,118,(10,20),outputNeighborhood,-1
0,118,(10,20),,1
0,119,(8,20),outputNeighborhood,-1
0,119,(8,20),,1
0,120,(6,20),outputNeighborhood,1
0,120,(6,20),,-1
0,121,(22,27),outputNeighborhood,-1
0,121,(22,27),,1
0,122,(9,23),outputNeighborhood,-1
0,122,(9,23),,-1
0,123,(5,20),outputNeighborhood,1
